City,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
154,Vanimo,PG,1681416710,-2.6741,141.3028,83,87,76.78,5.66
155,Logan Lake,CA,1681416710,50.4998,-120.8025,100,93,41.22,1.43
156,Khovd,MN,1681416710,48.0056,91.6419,17,32,30.65,7.7
157,Forsytheganj,BY,1681416710,52.6333,29.7333,100,90,46.17,9.53
158,Santa Cruz de la Sierra,BO,1681416710,-17.8,-63.1667,75,89,78.26,12.66
159,Atuona,PF,1681416711,-9.8,-139.0333,97,70,79.95,4.61
160,Coari,BR,1681416711,-4.085,-63.1414,75,65,87.8,3.0
161,Rincon,US,1681416711,32.296,-81.2354,100,83,72.86,14.97
162,Preobrazheniye,RU,1681416711,42.9019,133.9064,1,56,39.79,4.68
163,Saint George,US,1681416712,37.1041,-113.5841,40,25,71.94,14.97
164,Grand Gaube,MU,1681416712,-20.0064,57.6608,0,84,77.38,1.59
165,Sovetskiy,RU,1681416712,61.3614,63.5842,72,98,1.42,4.0
166,Clyde River,CA,1681416712,70.4692,-68.5914,81,79,8.71,5.59
167,Graaff-Reinet,ZA,1681416713,-32.2522,24.5308,99,64,57.92,5.46
168,Pevek,RU,1681416713,69.7008,170.3133,97,95,1.08,2.42
169,Oranjemund,NA,1681416713,-28.55,16.4333,100,88,58.66,8.84
170,Natal,BR,1681416714,-5.795,-35.2094,75,74,83.05,9.22
171,Lebu,CL,1681416714,-37.6167,-73.65,44,83,60.03,6.02
172,Wagar,SD,1681416714,16.1525,36.2032,7,45,77.94,17.13
173,Abnūb,EG,1681416714,27.2696,31.1511,0,21,68.52,3.85
174,Nanortalik,GL,1681416715,60.1432,-45.2371,100,83,35.2,3.69
175,Cantaura,VE,1681416715,9.3057,-64.3584,97,24,96.35,6.4
176,Paramonga,PE,1681416715,-10.6667,-77.8333,65,71,79.32,13.73
177,Kaka,TM,1681416715,37.3482,59.6143,100,17,89.83,15.68
178,Boyolangu,ID,1681416716,-8.1181,111.8935,100,90,75.27,4.12
179,Manuk Mangkaw,PH,1681416716,4.8,119.85,99,72,82.29,5.77
180,Torbay,CA,1681416716,47.6666,-52.7314,100,95,40.39,18.41
181,Ilulissat,GL,1681416716,69.2167,-51.1,100,93,26.62,4.61
182,Esmeralda,CU,1681416717,21.8525,-78.1169,84,48,88.38,6.69
183,Lompoc,US,1681416658,34.6391,-120.4579,20,60,70.02,21.0
184,Kurchum,KZ,1681416717,48.5722,83.6542,68,50,39.13,7.23
185,Nome,US,1681416425,64.5011,-165.4064,0,83,0.16,0.0
186,Flin Flon,CA,1681416718,54.7682,-101.865,97,68,42.13,3.58
187,St. George's,GD,1681416439,12.0564,-61.7485,100,72,79.48,11.54
188,Bahía de Caráquez,EC,1681416718,-0.6,-80.4167,63,76,84.38,9.4
189,Weyburn,CA,1681416718,49.6668,-103.8511,100,96,37.18,10.92
190,Brae,GB,1681416718,60.3964,-1.353,100,90,43.34,12.62
191,San Policarpo,PH,1681416719,12.1791,125.5072,35,90,77.63,5.1
192,Saint-Ambroise,CA,1681416719,48.5501,-71.3324,100,81,53.67,11.68
193,Tabuk,PH,1681416719,17.4189,121.4443,72,90,74.25,2.19
194,Cidreira,BR,1681416719,-30.1811,-50.2056,100,84,66.63,12.12
195,Bhīnmāl,IN,1681416719,25.0,72.25,100,29,81.63,8.93
196,Deep River,CA,1681416459,46.1001,-77.4995,19,64,79.95,9.89
197,Talnakh,RU,1681416720,69.4865,88.3972,100,98,-12.41,7.78
198,Melilla,ES,1681416720,35.2937,-2.9383,0,45,66.58,13.8
199,Khatanga,RU,1681416720,71.9667,102.5,100,93,6.8,20.51
200,Launceston,AU,1681416721,-41.45,147.1667,100,96,48.15,8.05
201,Tiksi,RU,1681416721,71.6872,128.8694,100,86,5.29,4.41
202,Vao,NC,1681416721,-22.6667,167.4833,100,91,74.25,7.38
203,Švenčionys,LT,1681416721,55.15,26.1667,100,83,45.1,4.36
204,Trujillo,PE,1681416722,-8.116,-79.03,20,66,85.96,11.5
205,Santa Rosa,PH,1681416542,14.3122,121.1114,100,96,76.08,2.71
206,Narsaq,GL,1681416723,60.9167,-46.05,100,78,48.42,1.61
207,Tura,IN,1681416723,25.5198,90.2201,100,24,76.89,3.42
208,Poum,NC,1681416724,-20.2333,164.0167,100,90,76.08,10.6
209,Ati,TD,1681416725,13.2154,18.3353,2,12,89.51,18.99
210,Ponta do Sol,PT,1681416726,32.6667,-17.1,65,73,68.0,5.82
211,Kumul,CN,1681416534,42.8,93.45,85,33,52.36,1.12
212,Sitka,US,1681416726,57.0531,-135.33,100,81,40.89,9.22
213,Ābdānān,IR,1681416727,32.9926,47.4198,24,65,51.71,3.4
214,The Valley,AI,1681416727,18.217,-63.0578,20,74,80.74,11.5
215,Bethel,US,1681416728,41.3712,-73.414,0,29,89.85,8.05
216,Murud,IN,1681416731,18.3258,72.965,100,53,85.37,4.94
217,Yar-Sale,RU,1681416732,66.8333,70.8333,69,90,-0.49,17.2
218,Carnarvon,AU,1681416732,-24.8667,113.6333,73,59,70.39,26.82
219,Putatan,MY,1681416733,5.9258,116.0609,20,94,77.02,5.99
220,Wakkanai,JP,1681416733,45.4094,141.6739,81,82,36.86,9.62
221,Lagoa,PT,1681416490,39.05,-27.9833,100,83,61.77,11.16
222,Iraray,PH,1681416734,8.9936,118.0511,62,87,76.5,2.26
223,Hervey Bay,AU,1681416735,-25.2986,152.8535,0,55,66.0,7.61
224,Itupiranga,BR,1681416736,-5.1347,-49.3267,74,76,82.72,3.38
225,Nikolskoye,RU,1681416736,59.7035,30.7861,100,73,39.09,10.85
226,Cesvaine,LV,1681416736,56.9667,26.3167,100,77,49.96,7.27
227,Bambous Virieux,MU,1681416737,-20.3428,57.7575,20,88,77.22,5.75
228,Esfarāyen,IR,1681416737,37.0765,57.5101,100,44,55.06,3.02
229,Saldanha,ZA,1681416738,-33.0117,17.9442,30,79,61.11,9.04
230,Flinders,AU,1681416738,-34.5833,150.8552,34,91,61.18,5.99
231,Constitución,CL,1681416656,-35.3333,-72.4167,44,71,61.77,7.65
232,Ongandjera,NA,1681416738,-17.8833,15.0667,9,27,82.31,5.23
233,Mehamn,NO,1681416739,71.0357,27.8492,0,69,33.75,14.97
234,Ōdachō-ōda,JP,1681416740,35.1833,132.5,100,64,53.31,10.29
235,Itoman,JP,1681416740,26.1247,127.6694,75,96,73.42,10.36
236,Morant Bay,JM,1681416741,17.8815,-76.4093,42,69,87.71,10.92
237,Bonwapitse,BW,1681416741,-23.0766,26.7037,1,31,73.62,6.33
238,North Platte,US,1681416741,41.1239,-100.7654,0,14,90.37,21.99
239,Gamboma,CG,1681416741,-1.8764,15.8644,13,75,77.56,1.77
240,Mossamedes,AO,1681416679,-15.1961,12.1522,31,72,73.96,7.43
241,Faya,SA,1681416742,18.3851,42.4509,0,66,59.52,4.03
242,Olginskaya,RU,1681416742,47.1879,39.9492,100,86,54.93,19.77
243,Te Anau,NZ,1681416670,-45.4167,167.7167,39,94,46.49,1.57
244,Monrovia,LR,1681416466,6.3005,-10.7969,49,84,80.71,10.11
245,Isangel,VU,1681416743,-19.55,169.2667,100,86,80.19,9.51
246,Utiel,ES,1681416743,39.5667,-1.2,34,34,50.32,9.04
247,Tsimmerbude,RU,1681416744,54.675,20.1347,100,91,50.05,8.12
248,Hangzhou,CN,1681416591,30.2937,120.1614,100,88,60.89,3.91
249,Tasiilaq,GL,1681416744,65.6145,-37.6368,96,90,37.56,2.24
250,Puri,IN,1681416745,19.8,85.85,0,78,81.12,12.19
251,Kuril'sk,RU,1681416745,45.2333,147.8833,100,75,36.03,9.91
252,Clovis,US,1681416629,36.8252,-119.7029,20,41,62.47,11.5
253,Saint Paul Harbor,US,1681416495,57.79,-152.4072,100,60,40.51,6.91
254,Kirakira,SB,1681416750,-10.4544,161.9205,100,84,80.94,4.79
255,Mount Isa,AU,1681416750,-20.7333,139.5,93,52,64.17,0.0
256,Tutóia,BR,1681416751,-2.7619,-42.2744,95,77,81.77,9.01
257,Hasaki,JP,1681416529,35.7333,140.8333,15,70,57.6,18.45
258,Carlisle,US,1681416628,40.2015,-77.1889,4,22,87.53,4.0
259,La Ronge,CA,1681416751,55.1001,-105.2842,76,85,36.61,2.55
260,Tevaitoa,PF,1681416752,-16.7833,-151.5,22,70,81.79,9.04
261,Viranşehir,TR,1681416752,37.2353,39.7631,44,83,46.76,0.87
262,Port Hardy,CA,1681416752,50.6996,-127.4199,100,70,44.78,10.36
263,Arona,ES,1681416753,28.0996,-16.681,0,82,61.12,25.32
264,Leningradskiy,RU,1681416753,69.3833,178.4167,75,94,-6.21,4.52
265,Shingū,JP,1681416754,33.7333,135.9833,100,65,52.11,4.38
266,Olafsvik,IS,1681416754,64.8945,-23.7142,93,71,38.48,8.39
267,Leh,IN,1681416754,34.1667,77.5833,4,46,21.76,3.76
268,Bhachāu,IN,1681416755,23.2833,70.35,0,39,82.69,8.57
269,Oodweyne,SO,1681416755,9.4092,45.064,77,66,73.54,11.01
270,Burns Lake,CA,1681416756,54.2331,-125.7533,67,66,37.74,6.62
271,Taoudenni,ML,1681416756,22.6783,-3.9836,20,8,87.55,6.33
272,Xining,CN,1681416757,36.6167,101.7667,93,82,37.6,3.62
273,Šiauliai,LT,1681416757,55.9333,23.3167,100,81,48.22,8.05
274,Biloela,AU,1681416757,-24.4167,150.5,0,54,57.25,3.47
275,Carroll,US,1681416758,39.5501,-77.0164,2,27,86.31,8.01
276,Nuuk,GL,1681416758,64.1835,-51.7216,75,65,38.01,9.22
277,Anadyr,RU,1681416758,64.75,177.4833,0,84,-8.9,6.71
278,Esperance,AU,1681416758,-33.8667,121.9,100,66,59.11,32.46
279,Caravelas,BR,1681416758,-17.7125,-39.2481,31,83,78.85,5.48
280,Ust'-Omchug,RU,1681416759,61.15,149.6333,100,90,-2.33,4.41
281,Morondava,MG,1681416759,-20.2833,44.2833,0,76,78.08,5.77
282,Popondetta,PG,1681416759,-8.7537,148.2534,100,94,74.52,1.86
283,Deputatsky,RU,1681416759,69.3,139.9,100,98,-2.69,1.48
284,Skibbereen,IE,1681416760,51.55,-9.2667,100,82,49.1,5.61
285,Cockburn Town,TC,1681416760,21.4612,-71.1419,65,77,78.57,12.66
286,Angra dos Reis,BR,1681416760,-23.0067,-44.3181,4,82,76.98,2.68
287,Maniitsoq,GL,1681416760,65.4167,-52.9,62,77,31.98,4.32
288,Van,TR,1681416761,38.4924,43.3831,75,70,38.55,6.91
289,Sri Aman,MY,1681416761,1.2376,111.4621,40,100,72.84,0.74
290,Santa Isabel,BR,1681416712,-23.3156,-46.2214,23,82,83.5,3.98
291,Kaduy,RU,1681416761,59.2,37.15,13,68,30.9,12.03
292,Coquimbo,CL,1681416507,-29.9533,-71.3436,0,72,65.93,11.5
293,Loudi,CN,1681416762,27.7344,111.9944,16,95,69.96,3.53
294,Lüderitz,NA,1681416762,-26.6481,15.1594,31,68,60.98,14.14
295,São Miguel do Araguaia,BR,1681416762,-13.275,-50.1628,98,77,81.63,5.06
296,Forestville,US,1681416762,38.8451,-76.875,0,22,89.78,10.36
297,Chui,UY,1681416763,-33.6971,-53.4616,18,53,62.38,11.52
298,Hay River,CA,1681416763,60.8156,-115.7999,100,77,32.4,6.08
299,Praia da Vitória,PT,1681416763,38.7333,-27.0667,76,92,63.75,11.77
300,Porto Nacional,BR,1681416763,-10.7081,-48.4172,76,69,87.8,2.64
301,Honiara,SB,1681416763,-9.4333,159.95,82,89,78.17,0.83
302,Manicoré,BR,1681416764,-5.8092,-61.3003,100,74,84.11,3.2
303,Nossa Senhora das Dores,BR,1681416764,-10.4917,-37.1933,100,72,78.08,11.21
304,Jining,CN,1681416764,35.405,116.5814,59,94,58.73,4.59
305,Araouane,ML,1681416764,18.9048,-3.5265,64,10,86.61,9.04
306,Scarborough,GB,1681416674,54.2797,-0.4044,67,86,45.66,5.01
307,Noumea,NC,1681416765,-22.2763,166.4572,100,99,79.0,8.55
308,Kalmunai,LK,1681416765,7.4167,81.8167,13,84,79.39,3.83
309,Pahlgām,IN,1681416765,34.0333,75.3333,100,53,39.24,11.97
310,Mombetsu,JP,1681416766,44.3525,143.3525,18,75,37.45,7.65
311,Asău,RO,1681416766,46.4333,26.4,16,82,42.28,3.44
312,San Cristobal,VE,1681416766,7.7669,-72.225,100,37,87.03,6.26
313,Lewiston,US,1681416559,44.1003,-70.2148,0,34,81.43,8.05
314,Fairview,US,1681416689,40.8126,-73.999,0,24,92.12,17.27
315,Riyadh,SA,1681416765,24.6877,46.7219,100,35,68.14,11.9
316,Tāybād,IR,1681416767,34.74,60.7756,100,17,80.8,16.33
317,Nizwá,OM,1681416767,22.9333,57.5333,50,45,81.05,3.44
318,Tiarei,PF,1681416767,-17.5333,-149.3333,14,69,86.02,11.65
319,Terrace,CA,1681416767,54.5163,-128.6035,100,74,42.76,3.56
320,Iquitos,PE,1681416767,-3.7481,-73.2472,75,74,80.64,4.61
321,Linjiang,CN,1681416768,41.8069,126.9078,100,91,41.77,0.74
322,Kushmurun,KZ,1681416768,52.4503,64.6311,100,56,53.11,3.91
323,Namatanai,PG,1681416768,-3.6667,152.4333,100,84,79.9,12.28
324,Rawson,AR,1681416674,-43.3002,-65.1023,5,44,53.89,7.34
325,Bull Savanna,JM,1681416768,17.8868,-77.5902,24,69,80.62,9.48
326,Kawalu,ID,1681416769,-7.3817,108.2082,98,96,72.37,1.3
327,Quincy,US,1681416471,42.2529,-71.0023,0,26,90.59,8.05
328,Mulegé,MX,1681416769,26.8833,-111.9833,47,32,80.15,4.54
329,Lorengau,PG,1681416769,-2.0226,147.2712,81,81,81.63,13.89
330,Sweetwater,US,1681416769,25.7634,-80.3731,75,67,86.02,17.27
331,Avera,US,1681416770,33.194,-82.5271,100,78,67.51,15.52
332,Kamina,CD,1681416770,-8.7386,24.9906,70,95,65.21,2.59
333,Nanlong,CN,1681416770,31.3533,106.0631,100,71,63.88,5.1
334,Yulara,AU,1681416770,-25.2406,130.9889,100,44,74.98,10.83
335,Kilcullen,IE,1681416770,53.1303,-6.7444,100,88,43.77,4.05
336,Chifeng,CN,1681416771,42.2683,118.9636,79,47,43.77,4.43
337,Torit,SS,1681416771,4.4133,32.5678,93,68,75.25,2.37
338,São José da Coroa Grande,BR,1681416771,-8.8978,-35.1478,90,70,79.29,7.76
339,Kangaatsiaq,GL,1681416771,68.3065,-53.4641,97,79,27.48,2.01
340,Homer,US,1681416629,59.6425,-151.5483,100,93,39.07,8.01
341,Taltal,CL,1681416772,-25.4,-70.4833,19,68,69.89,8.43
342,Krasnosel'kup,RU,1681416772,65.7,82.4667,87,100,-10.25,8.08
343,College,US,1681416772,64.8569,-147.8028,20,73,15.58,3.44
344,Humaitá,BR,1681416772,-7.5061,-63.0208,97,81,83.88,1.5
345,Eureka,US,1681416772,40.8021,-124.1637,55,64,61.66,5.99
346,Shakawe,BW,1681416773,-18.3667,21.85,41,35,73.99,5.61
347,Mbanza-Ngungu,CD,1681416773,-5.25,14.8667,15,87,69.67,2.15
348,Vallenar,CL,1681416773,-28.5708,-70.7581,0,28,80.65,9.17
349,Pingxiang,CN,1681416773,27.6167,113.85,9,96,69.12,0.63
350,Sabla,NG,1681416774,12.7525,4.7077,100,12,90.97,8.55
351,Kavaratti,IN,1681416774,10.5669,72.642,100,74,83.57,4.54
352,Kaina,NG,1681416774,12.6374,8.5873,38,14,83.3,7.65
353,Tambovka,RU,1681416774,50.0969,128.0489,98,50,28.08,10.85
354,Fairbanks,US,1681416774,64.8378,-147.7164,40,73,15.6,3.44
355,Ixtapa,MX,1681416775,20.7,-105.2,40,50,79.83,9.22
